player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31.0,51,6,0,4,2,49.4,0.32,+0.4,+0.01,134,407,32.9,1143,176,29.2,29.9,204,35.8,32.0,417,14,3.4,53,1.71,18.3,Matches
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1.0,1,0,0,0,0,0.8,0.13,-0.2,-0.21,4,17,23.5,33,9,45.5,35.3,10,20.0,25.4,14,1,7.1,2,2.00,10.3,Matches
Fabian Bredlow,de GER,GK,Stuttgart,25,1995,1.0,1,0,0,0,0,2.8,0.31,+1.8,+1.77,2,10,20.0,30,6,30.0,29.4,9,11.1,25.0,31,1,3.2,0,0.00,8.8,Matches
Roman Bürki,ch SUI,GK,Dortmund,29,1990,18.5,30,4,0,6,0,28.4,0.27,-1.6,-0.09,62,166,37.3,519,108,24.7,29.5,110,34.5,34.9,187,4,2.1,13,0.70,16.3,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28,1992,32.0,33,3,1,2,1,32.7,0.26,+0.7,+0.02,191,462,41.3,1048,166,31.9,32.6,203,63.1,48.4,450,25,5.6,57,1.78,17.3,Matches
Finn Dahmen,de GER,GK,Mainz 05,22,1998,3.0,10,1,0,1,0,8.6,0.38,-1.4,-0.47,4,19,21.1,59,16,27.1,29.6,27,11.1,23.7,49,3,6.1,4,1.33,11.9,Matches
Ralf Fährmann,de GER,GK,Schalke 04,31,1988,20.8,50,3,1,8,2,41.5,0.28,-6.5,-0.31,91,350,26.0,638,119,35.9,33.5,183,66.1,46.5,374,12,3.2,20,0.96,12.6,Matches
Mark Flekken,nl NED,GK,Freiburg,27,1993,3.0,6,2,0,0,0,7.3,0.34,+1.3,+0.42,29,59,49.2,96,10,38.5,37.1,27,81.5,61.9,55,0,0.0,2,0.67,11.9,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,32,1987,34.0,54,6,0,2,3,53.2,0.26,+2.2,+0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0,Matches
Lennart Grill,de GER,GK,Leverkusen,21,1999,4.0,7,0,0,0,0,7.9,0.38,+0.9,+0.24,8,23,34.8,136,26,15.4,24.6,25,8.0,22.6,39,1,2.6,7,1.75,17.4,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,30,1990,33.0,30,3,0,1,0,26.8,0.30,-3.2,-0.10,96,222,43.2,1003,172,19.1,27.7,168,17.9,25.7,315,15,4.8,65,1.97,19.7,Matches
Marwin Hitz,ch SUI,GK,Dortmund,32,1987,15.5,16,2,0,1,1,15.1,0.30,+0.1,0.00,75,155,48.4,426,71,23.9,29.1,123,43.1,39.5,176,8,4.5,8,0.52,12.1,Matches
Timo Horn,de GER,GK,Köln,27,1993,33.4,59,7,1,5,0,53.7,0.30,-5.3,-0.16,234,530,44.2,1110,120,39.4,35.5,221,42.1,37.1,469,14,3.0,30,0.90,15.2,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,30,1989,28.5,29,1,1,0,2,26.6,0.31,-0.4,-0.01,149,419,35.6,1208,179,29.7,31.5,180,33.3,32.8,322,20,6.2,58,2.04,18.2,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,35,1984,8.0,13,1,0,2,1,8.0,0.18,-4.0,-0.50,55,141,39.0,209,27,46.4,38.7,73,60.3,45.8,124,2,1.6,3,0.38,12.0,Matches
Loris Karius,de GER,GK,Union Berlin,27,1993,3.2,1,0,0,0,1,0.9,0.23,+0.9,+0.28,17,53,32.1,73,9,52.1,40.4,21,71.4,53.7,47,2,4.3,1,0.31,8.6,Matches
Gregor Kobel,ch SUI,GK,Stuttgart,22,1997,33.0,54,5,1,3,1,52.5,0.29,-0.5,-0.02,126,315,40.0,940,207,27.6,28.2,280,20.0,25.2,459,17,3.7,42,1.27,15.9,Matches
Michael Langer,at AUT,GK,Schalke 04,35,1985,2.7,12,0,0,4,1,6.7,0.29,-4.3,-1.64,11,33,33.3,51,8,37.3,35.8,26,53.8,38.9,42,0,0.0,5,1.88,15.8,Matches
Niklas Lomb,de GER,GK,Leverkusen,27,1993,1.5,3,0,0,0,0,3.3,0.42,+0.3,+0.23,5,12,41.7,53,14,17.0,28.0,7,42.9,38.7,17,0,0.0,2,1.33,18.0,Matches
Andreas Luthe,de GER,GK,Union Berlin,33,1987,30.8,42,4,0,5,1,39.8,0.27,-1.2,-0.04,180,475,37.9,927,108,37.1,34.2,215,60.9,42.8,376,18,4.8,20,0.65,13.1,Matches
Josep Martinez,es ESP,GK,RB Leipzig,22,1998,1.0,2,0,0,1,0,0.9,0.23,-1.1,-1.08,3,13,23.1,44,4,29.5,29.4,6,0.0,15.0,13,0,0.0,2,2.00,20.2,Matches
Florian Müller,de GER,GK,Freiburg,22,1997,31.0,46,2,2,3,2,45.3,0.28,+1.3,+0.04,165,556,29.7,1060,151,33.8,34.0,271,73.1,55.4,409,7,1.7,36,1.16,17.4,Matches
Manuel Neuer,de GER,GK,Bayern Munich,34,1986,33.0,42,1,0,5,0,44.2,0.35,+2.2,+0.07,123,256,48.0,1131,188,20.5,28.8,186,12.9,27.2,349,5,1.4,105,3.18,23.6,Matches
Alexander Nübel,de GER,GK,Bayern Munich,23,1996,1.0,2,0,0,1,0,1.1,0.28,-0.9,-0.88,1,3,33.3,28,2,10.7,23.4,8,0.0,20.4,12,1,8.3,0,0.00,7.7,Matches
Stefan Ortega,de GER,GK,Arminia,27,1992,34.0,52,5,0,5,1,54.1,0.29,+3.1,+0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34.0,57,4,0,7,3,48.7,0.28,-5.3,-0.16,211,461,45.8,865,168,37.8,33.9,279,48.0,40.9,567,17,3.0,30,0.88,14.4,Matches
Philipp Pentke,de GER,GK,Hoffenheim,35,1985,3.0,3,0,1,0,0,4.1,0.36,+1.1,+0.36,9,20,45.0,89,19,21.3,26.5,20,5.0,22.8,26,0,0.0,3,1.00,22.0,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,32,1987,2.0,4,0,0,2,0,3.4,0.25,-0.6,-0.29,11,28,39.3,53,5,34.0,32.6,17,58.8,47.5,35,0,0.0,0,0.00,10.7,Matches
Frederik Rønnow,dk DEN,GK,Schalke 04,27,1992,10.5,24,4,0,5,2,21.6,0.27,-0.4,-0.04,44,117,37.6,280,67,26.1,29.9,95,46.3,38.7,132,8,6.1,13,1.24,14.2,Matches
Alexander Schwolow,de GER,GK,Hertha BSC,28,1992,26.0,39,6,1,2,0,38.9,0.31,-0.1,0.00,126,288,43.8,696,128,25.3,31.2,220,50.9,42.9,373,10,2.7,19,0.73,14.5,Matches
Tobias Sippel,de GER,GK,M'Gladbach,32,1988,3.8,6,0,0,1,0,4.8,0.26,-1.2,-0.32,25,75,33.3,98,10,41.8,37.4,46,73.9,55.0,71,1,1.4,5,1.31,15.8,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,31,1988,30.1,50,6,0,5,0,40.2,0.26,-9.8,-0.33,120,298,40.3,1026,123,23.7,28.7,212,25.9,28.6,397,7,1.8,30,1.00,16.5,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,30,1990,33.0,52,4,1,5,2,44.6,0.27,-5.4,-0.16,222,574,38.7,1088,163,41.2,34.4,265,47.5,41.6,459,14,3.1,51,1.55,15.7,Matches
Robin Zentner,de GER,GK,Mainz 05,25,1994,31.0,46,5,1,3,1,40.9,0.26,-4.1,-0.13,132,453,29.1,824,199,38.0,35.4,250,56.0,46.0,470,32,6.8,37,1.19,14.5,Matches
Ron-Robert Zieler,de GER,GK,Köln,31,1989,0.6,1,1,0,0,0,1.2,0.07,+0.2,+0.31,6,11,54.5,17,4,35.3,33.5,6,83.3,49.7,15,1,6.7,0,0.00,13.0,Matches
